2020,2040
Mode,Speed,CO,CO2,NOX,PM10,SOX,VOC,PM2.5,CO,CO2,NOX,PM10,SOX,VOC,PM2.5
Auto,0,2.7812,66.6818,0.2922,0.0022,0.0007,0.3837,0.0020,1.6243,41.5134,0.1182,0.0008,0.0004,0.1038,0.0007
Auto,5,2.4569,766.8891,0.1849,0.0119,0.0076,0.2149,0.0110,1.0375,512.1914,0.0448,0.0042,0.0051,0.0871,0.0038
Auto,6,2.3624,736.4937,0.1767,0.0110,0.0073,0.1979,0.0102,1.0103,492.7973,0.0435,0.0039,0.0049,0.0810,0.0035
Auto,7,2.2679,706.0983,0.1684,0.0101,0.0070,0.1809,0.0093,0.9831,473.4032,0.0422,0.0035,0.0047,0.0749,0.0033
Auto,8,2.1734,675.7028,0.1602,0.0092,0.0067,0.1639,0.0085,0.9559,454.0092,0.0409,0.0032,0.0045,0.0688,0.0030
Auto,9,2.0789,645.3074,0.1519,0.0084,0.0064,0.1469,0.0077,0.9286,434.6151,0.0396,0.0029,0.0043,0.0627,0.0027
Auto,10,1.9844,614.9120,0.1436,0.0075,0.0061,0.1299,0.0069,0.9014,415.2211,0.0383,0.0026,0.0041,0.0566,0.0024
Auto,11,1.9452,593.4537,0.1408,0.0070,0.0059,0.1221,0.0064,0.8807,400.2645,0.0375,0.0024,0.0040,0.0531,0.0022
Auto,12,1.9060,571.9954,0.1380,0.0065,0.0057,0.1142,0.0060,0.8600,385.3079,0.0366,0.0023,0.0038,0.0495,0.0021
Auto,13,1.8667,550.5371,0.1352,0.0060,0.0054,0.1064,0.0055,0.8392,370.3513,0.0358,0.0021,0.0037,0.0460,0.0019
Auto,14,1.8275,529.0788,0.1323,0.0055,0.0052,0.0986,0.0051,0.8185,355.3947,0.0349,0.0019,0.0035,0.0424,0.0018
Auto,15,1.7883,507.6205,0.1295,0.0050,0.0050,0.0908,0.0046,0.7977,340.4381,0.0341,0.0017,0.0034,0.0389,0.0016
Auto,16,1.7449,490.1154,0.1262,0.0047,0.0048,0.0853,0.0044,0.7797,328.9303,0.0333,0.0016,0.0033,0.0365,0.0015
Auto,17,1.7015,472.6104,0.1230,0.0044,0.0047,0.0797,0.0041,0.7616,317.4224,0.0326,0.0015,0.0031,0.0342,0.0014
Auto,18,1.6580,455.1053,0.1197,0.0041,0.0045,0.0742,0.0038,0.7435,305.9146,0.0318,0.0014,0.0030,0.0318,0.0013
Auto,19,1.6146,437.6003,0.1165,0.0038,0.0043,0.0687,0.0035,0.7254,294.4067,0.0311,0.0013,0.0029,0.0295,0.0012
Auto,20,1.5712,420.0952,0.1132,0.0036,0.0042,0.0632,0.0033,0.7073,282.8989,0.0303,0.0012,0.0028,0.0272,0.0011
Auto,21,1.5324,407.5672,0.1102,0.0034,0.0040,0.0598,0.0031,0.6937,274.6096,0.0298,0.0012,0.0027,0.0258,0.0011
Auto,22,1.4935,395.0392,0.1073,0.0032,0.0039,0.0563,0.0029,0.6802,266.3204,0.0293,0.0011,0.0026,0.0245,0.0010
Auto,23,1.4547,382.5112,0.1043,0.0030,0.0038,0.0529,0.0028,0.6666,258.0312,0.0287,0.0010,0.0026,0.0231,0.0010
Auto,24,1.4159,369.9831,0.1013,0.0028,0.0037,0.0495,0.0026,0.6530,249.7419,0.0282,0.0010,0.0025,0.0218,0.0009
Auto,25,1.3770,357.4551,0.0984,0.0026,0.0035,0.0461,0.0024,0.6394,241.4527,0.0276,0.0009,0.0024,0.0204,0.0008
Auto,26,1.3526,349.3782,0.0970,0.0025,0.0035,0.0442,0.0023,0.6287,235.9199,0.0273,0.0009,0.0023,0.0196,0.0008
Auto,27,1.3282,341.3012,0.0957,0.0024,0.0034,0.0424,0.0022,0.6180,230.3871,0.0270,0.0008,0.0023,0.0188,0.0008
